amount,seconds_since_customer_transaction,customer_transactions_before,customer_amount_sum_before,customer_avg_amount_before,amount_vs_customer_history,amount_difference_from_history,customer_txn_count_1h_before,customer_txn_count_24h_before,device_transactions_before,device_customer_count_before,is_seen_device_before,ip_transactions_before,ip_customer_count_before,is_seen_ip_before,merchant_transactions_before,merchant_customers_before,is_new_location,location_changed_from_previous,hour_of_day,day_of_week,is_weekend,is_late_night,amount_log,is_high_value,is_very_high_value,device_ip_transactions_before,device_other_customers_before,ip_other_customers_before,network_connections_before,payment_method_card,payment_method_netbanking,payment_method_upi,payment_method_wallet,location_Ahmedabad,location_Bengaluru,location_Chennai,location_Delhi,location_Hyderabad,location_Kolkata,location_Mumbai,location_Pune,location_Vijayawada,location_Visakhapatnam
4093.38,999999.0,0,0.0,4146.51,0.9871868149359341,-53.13000000000011,0,0,0,4,0,0,1,0,0,215,0,0,1,3,0,1,8.317370580673,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
644.32,999999.0,0,0.0,807.92,0.7975047034359839,-163.5999999999999,0,0,0,3,0,0,1,0,0,213,0,0,1,3,0,1,6.469746317797943,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1686.52,999999.0,0,0.0,2045.31,0.8245791591494688,-358.78999999999996,0,0,0,2,0,0,2,0,0,195,0,0,1,3,0,1,7.4310152745283045,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2631.79,999999.0,0,0.0,3108.65,0.8466022228298458,-476.8600000000001,0,0,0,5,0,0,3,0,1,181,0,0,1,3,0,1,7.875799399384299,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2350.44,999999.0,0,0.0,3615.36,0.6501261285183219,-1264.92,0,0,0,2,0,0,4,0,0,197,0,0,1,3,0,1,7.7627831854312515,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1966.92,999999.0,0,0.0,2726.34,0.7214507361517639,-759.4200000000001,0,0,0,4,0,0,5,0,0,213,0,0,1,3,0,1,7.5847324263794444,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
920.94,999999.0,0,0.0,939.3,0.9804535292238903,-18.3599999999999,0,0,0,3,0,0,2,0,0,189,0,0,2,3,0,1,6.826480145517156,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1778.14,999999.0,0,0.0,1081.1,1.644750716862455,697.0400000000002,0,0,0,3,0,0,2,0,0,180,0,0,2,3,0,1,7.483885380466047,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1913.94,999999.0,0,0.0,1043.91,1.8334339167169582,870.03,0,0,0,5,0,0,5,0,0,202,0,0,2,3,0,1,7.557441569531212,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2796.23,999999.0,0,0.0,623.12,4.487466298626268,2173.11,0,0,0,4,0,0,5,0,0,172,0,0,2,3,0,1,7.936384920782924,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
457.2,999999.0,0,0.0,1029.46,0.44411633283469,-572.26,0,0,0,5,0,0,1,0,0,200,0,0,2,3,0,1,6.127305770019395,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2798.16,999999.0,0,0.0,3066.02,0.9126359254016607,-267.8600000000001,0,0,0,2,0,0,1,0,0,171,0,0,2,3,0,1,7.937074651154293,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
769.42,999999.0,0,0.0,953.03,0.8073407972466764,-183.61,0,0,0,6,0,0,2,0,0,172,0,0,2,3,0,1,6.646935820686926,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
822.49,999999.0,0,0.0,1530.13,0.5375294909582845,-707.6400000000001,0,0,0,3,0,0,3,0,0,194,0,0,2,3,0,1,6.713551406253133,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
427.44,999999.0,0,0.0,1259.65,0.33933235422538005,-832.21,0,0,0,6,0,0,4,0,0,190,0,0,2,3,0,1,6.0601507048964285,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
759.3,999999.0,0,0.0,1676.86,0.4528106103073602,-917.56,0,0,0,3,0,0,2,0,0,175,0,0,2,3,0,1,6.633713092234391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3410.14,999999.0,0,0.0,3771.92,0.9040859827355829,-361.7800000000002,0,0,0,2,0,0,4,0,1,191,0,0,2,3,0,1,8.134801825258581,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
907.98,999999.0,0,0.0,1028.83,0.8825364734698639,-120.84999999999991,0,0,0,2,0,0,2,0,0,183,0,0,2,3,0,1,6.812323091735207,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4985.85,999999.0,0,0.0,3539.79,1.4085157594094566,1446.0600000000004,0,0,0,5,0,0,8,0,0,194,0,0,2,3,0,1,8.514559726890436,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1255.07,999999.0,0,0.0,1912.09,0.6563864671642026,-657.02,0,0,0,7,0,0,2,0,0,213,0,0,2,3,0,1,7.135743077959223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
661.61,999999.0,0,0.0,1292.29,0.5119671281213969,-630.68,0,0,0,5,0,0,5,0,0,206,0,0,2,3,0,1,6.496186581813487,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1053.36,999999.0,0,0.0,1315.08,0.8009854913769504,-261.72,0,0,0,7,0,0,2,0,1,213,0,0,2,3,0,1,6.960689226761573,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3874.1,999999.0,0,0.0,4612.89,0.8398422680792301,-738.7900000000004,0,0,0,3,0,0,3,0,0,221,0,0,2,3,0,1,8.26232674790608,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6662.21,999999.0,0,0.0,6245.79,1.0666721103335206,416.4200000000001,0,0,0,3,0,0,5,0,0,201,0,0,2,3,0,1,8.804356629400411,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3111.46,999999.0,0,0.0,1566.82,1.9858439386783422,1544.64,0,0,0,3,0,0,4,0,1,190,0,0,2,3,0,1,8.04316868928476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
24512.08,999999.0,0,0.0,4055.36,6.044365974907284,20456.72,0,0,0,1,0,0,4,0,0,183,0,0,2,3,0,1,10.106962131621922,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1335.29,999999.0,0,0.0,2041.09,0.6542043711938229,-705.8,0,0,0,2,0,0,2,0,0,203,0,0,2,3,0,1,7.197652396409468,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
13918.84,999999.0,0,0.0,2351.77,5.918452909935921,11567.07,0,0,0,15,0,0,13,0,0,219,0,0,2,3,0,1,9.541070439569477,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2751.07,999999.0,0,0.0,4683.09,0.5874476040392135,-1932.02,0,0,0,6,0,0,3,0,0,210,0,0,3,3,0,1,7.9201086347762555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4492.03,999999.0,0,0.0,2923.7,1.5364196052946608,1568.33,0,0,0,3,0,0,3,0,0,215,0,0,3,3,0,1,8.410282586101061,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3463.74,999999.0,0,0.0,2635.95,1.3140385819154385,827.79,0,0,0,4,0,0,3,0,0,208,0,0,3,3,0,1,8.15039287273362,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
412.83,999999.0,0,0.0,486.09,0.8492871690427699,-73.25999999999999,0,0,0,3,0,0,2,0,0,196,0,0,3,3,0,1,6.025455261475219,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
637.85,999999.0,0,0.0,1274.61,0.5004275817701102,-636.7599999999999,0,0,0,6,0,0,1,0,0,196,0,0,3,3,0,1,6.4596696850373325,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3013.09,999999.0,0,0.0,2186.55,1.3780110219295236,826.54,0,0,0,3,0,0,2,0,1,183,0,0,3,3,0,1,8.01105323939092,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
439.5,999999.0,0,0.0,760.82,0.5776662022554612,-321.32000000000005,0,0,0,2,0,0,2,0,0,199,0,0,3,3,0,1,6.0879104453762345,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
589.49,999999.0,0,0.0,967.5,0.6092919896640827,-378.01,0,0,0,3,0,0,3,0,0,206,0,0,3,3,0,1,6.380952700693006,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7276.37,999999.0,0,0.0,4442.13,1.6380362573810312,2834.24,0,0,0,3,0,0,2,0,0,203,0,0,3,3,0,1,8.892524812183003,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
793.96,999999.0,0,0.0,1128.42,0.7036032682866309,-334.46000000000004,0,0,0,5,0,0,6,0,1,200,0,0,3,3,0,1,6.678291798923108,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1054.12,999999.0,0,0.0,1218.53,0.8650751315109189,-164.41000000000008,0,0,0,3,0,0,15,0,0,196,0,0,3,3,0,1,6.961409783517629,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
3069.33,999999.0,0,0.0,2908.94,1.0551369227278664,160.38999999999987,0,0,0,4,0,0,3,0,0,198,0,0,3,3,0,1,8.029540326661085,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
4550.54,999999.0,0,0.0,2524.98,1.80220833432344,2025.56,0,0,0,5,0,0,4,0,0,198,0,0,3,3,0,1,8.423220916218272,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
886.07,999999.0,0,0.0,961.44,0.9216071725744717,-75.37,0,0,0,3,0,0,3,0,0,172,0,0,3,3,0,1,6.787923896895855,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1430.19,999999.0,0,0.0,1836.71,0.7786694687784136,-406.52,0,0,0,5,0,0,3,0,1,206,0,0,3,3,0,1,7.266261545026444,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
946.15,999999.0,0,0.0,878.73,1.0767243635701522,67.41999999999996,0,0,0,7,0,0,3,0,0,207,0,0,3,3,0,1,6.853457475574288,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1342.4,999999.0,0,0.0,1313.95,1.0216522698732828,28.450000000000045,0,0,0,4,0,0,3,0,0,202,0,0,3,3,0,1,7.202958992832764,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1211.47,999999.0,0,0.0,1539.28,0.7870367964243024,-327.80999999999995,0,0,0,6,0,0,3,0,0,201,0,0,4,3,0,1,7.100414880237502,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1822.26,999999.0,0,0.0,1819.26,1.001649022129877,3.0,0,0,0,2,0,0,2,0,0,195,0,0,4,3,0,1,7.508381386560669,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8003.11,999999.0,0,0.0,5124.2,1.5618262362905428,2878.91,0,0,0,2,0,0,6,0,0,185,0,0,4,3,0,1,8.987710438737624,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
2014.81,999999.0,0,0.0,2265.37,0.8893955512785992,-250.55999999999995,0,0,0,4,0,0,1,0,0,194,0,0,4,3,0,1,7.608776378718077,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1311.74,999999.0,0,0.0,808.74,1.6219551400944678,503.0,0,0,0,3,0,0,4,0,1,214,0,0,4,3,0,1,7.179871834892307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1013.18,999999.0,0,0.0,665.94,1.5214283569090306,347.2399999999999,0,0,0,5,0,0,3,0,2,214,0,0,4,3,0,1,6.9218356831901415,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
5763.23,999999.0,0,0.0,2972.89,1.9385951044270053,2790.3399999999997,0,0,0,4,0,0,2,0,0,204,0,0,4,3,0,1,8.659426859168562,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1140.45,999999.0,0,0.0,2075.46,0.5494926425948946,-935.01,0,0,0,2,0,0,2,0,0,214,0,0,4,3,0,1,7.0400546629956215,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1857.56,999999.0,0,0.0,867.64,2.1409340279378544,989.92,0,0,1,6,1,0,4,0,0,191,0,0,4,3,0,1,7.527557273316267,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
600.46,999999.0,0,0.0,981.44,0.6118152918161069,-380.98,0,0,0,2,0,0,6,0,0,206,0,0,4,3,0,1,6.399360032787856,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
3579.65,999999.0,0,0.0,1332.07,2.6872837013069883,2247.58,0,0,0,2,0,0,11,0,1,187,0,0,4,3,0,1,8.183299627159764,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1660.52,999999.0,0,0.0,557.3,2.979580118428136,1103.22,0,0,0,13,0,0,2,0,0,213,0,0,4,3,0,1,7.4154881250378795,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1504.62,999999.0,0,0.0,1856.2,0.8105915310850124,-351.58000000000015,0,0,0,4,0,0,4,0,0,169,0,0,4,3,0,1,7.316960052483588,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
455.69,999999.0,0,0.0,1051.12,0.43352804627445013,-595.4299999999998,0,0,0,3,0,0,5,0,0,206,0,0,4,3,0,1,6.124004823739273,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2591.02,999999.0,0,0.0,1898.35,1.364880027392209,692.6700000000001,0,0,0,2,0,0,4,0,0,209,0,0,4,3,0,1,7.86019277349178,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1445.68,999999.0,0,0.0,1309.75,1.1037831647260927,135.93000000000006,0,0,0,4,0,0,5,0,0,184,0,0,4,3,0,1,7.27702655497373,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1663.36,999999.0,0,0.0,1761.54,0.9442646774980982,-98.18000000000006,0,0,0,6,0,0,2,0,0,199,0,0,4,3,0,1,7.417195944135545,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
975.83,999999.0,0,0.0,702.25,1.3895763616945533,273.58000000000004,0,0,0,6,0,0,1,0,0,213,0,0,4,3,0,1,6.884312634855587,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
784.44,999999.0,0,0.0,1257.99,0.6235661650728543,-473.54999999999995,0,0,0,7,0,0,4,0,1,214,0,0,4,3,0,1,6.666244070309743,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
287.35,999999.0,0,0.0,1186.53,0.2421767675490717,-899.18,0,0,0,4,0,0,3,0,0,216,0,0,4,3,0,1,5.664175020061422,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
454.71,999999.0,0,0.0,682.28,0.6664565867385824,-227.57,0,0,0,5,0,0,6,0,0,196,0,0,5,3,0,1,6.12185664229064,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1277.85,999999.0,0,0.0,749.59,1.70473192011633,528.2599999999999,0,0,0,2,0,0,4,0,0,184,0,0,5,3,0,1,7.153716515576792,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13790.92,999999.0,0,0.0,3918.06,3.519833795296652,9872.86,0,0,0,4,0,0,1,0,0,196,0,0,5,3,0,1,9.531838192422615,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1207.74,999999.0,0,0.0,1993.35,0.605884566182557,-785.6099999999999,0,0,0,5,0,0,6,0,0,202,0,0,5,3,0,1,7.0973337737239754,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5440.51,999999.0,0,0.0,1087.94,5.000744526352556,4352.57,0,0,0,3,0,0,2,0,0,197,0,0,5,3,0,1,8.601811874862996,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
741.84,999999.0,0,0.0,1090.91,0.6800194333171389,-349.07000000000005,0,0,0,1,0,0,2,0,2,214,0,0,5,3,0,1,6.610480678324852,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
3816.17,999999.0,0,0.0,3825.48,0.9975663184750672,-9.309999999999945,0,0,0,5,0,0,3,0,0,196,0,0,5,3,0,1,8.24726458934843,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4846.69,999999.0,0,0.0,2308.3,2.0996794177533245,2538.3899999999994,0,0,0,2,0,0,2,0,0,185,0,0,5,3,0,1,8.486257581810262,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6380.04,999999.0,0,0.0,3166.85,2.0146328370462765,3213.19,0,0,0,2,0,0,8,0,0,201,0,0,5,3,0,1,8.761086372458635,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
2270.62,999999.0,0,0.0,2328.11,0.9753061496235143,-57.49000000000024,0,0,0,5,0,0,4,0,0,186,0,0,5,3,0,1,7.7282485123314855,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
6248.71,999999.0,0,0.0,4012.85,1.5571750750713333,2235.86,0,0,0,6,0,0,3,0,0,194,0,0,5,3,0,1,8.740290341653933,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1119.9,999999.0,0,0.0,956.47,1.170867878762533,163.43000000000006,0,0,0,4,0,0,2,0,0,196,0,0,5,3,0,1,7.02188721302705,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
1374.4,999999.0,0,0.0,2427.27,0.5662328459545086,-1052.87,0,0,0,4,0,0,5,0,0,205,0,0,6,3,0,0,7.226499876885736,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1156.6,999999.0,0,0.0,954.54,1.211683114379701,202.05999999999995,0,0,0,5,0,0,1,0,1,196,0,0,6,3,0,0,7.054104175317274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
913.08,999999.0,0,0.0,1272.58,0.7175030253500763,-359.4999999999999,0,0,0,2,0,0,2,0,1,221,0,0,6,3,0,0,6.817918094976153,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4064.97,999999.0,0,0.0,4502.29,0.9028672075765888,-437.32000000000016,0,0,0,5,0,0,5,0,0,195,0,0,6,3,0,0,8.310407615902342,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
6225.23,999999.0,0,0.0,5396.55,1.1535573653537907,828.6799999999994,0,0,0,2,0,1,4,1,0,189,0,0,6,3,0,0,8.736526292175949,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
1276.94,999999.0,0,0.0,2276.62,0.5608929026363645,-999.6799999999998,0,0,0,3,0,0,3,0,0,199,0,0,6,3,0,0,7.153004685478564,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
3451.2,999999.0,0,0.0,1754.31,1.9672691827556132,1696.8899999999999,0,0,0,1,0,0,2,0,0,206,0,0,6,3,0,0,8.146766987952589,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1650.72,999999.0,0,0.0,1635.82,1.0091085816287857,14.900000000000091,0,0,0,3,0,0,2,0,0,185,0,0,6,3,0,0,7.409572448190188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1573.09,999999.0,0,0.0,1609.21,0.9775542036154385,-36.12000000000012,0,0,0,5,0,0,2,0,0,193,0,0,6,3,0,0,7.361432606504055,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1310.31,999999.0,0,0.0,3657.74,0.35822939848102925,-2347.43,0,0,0,4,0,0,3,0,0,193,0,0,6,3,0,0,7.178781916528281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2301.54,999999.0,0,0.0,2686.3,0.856769534303689,-384.7600000000002,0,0,1,5,1,0,5,0,0,187,0,0,6,3,0,0,7.741768140399844,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
606.8,999999.0,0,0.0,1452.42,0.4177854890458682,-845.6200000000001,0,0,0,3,0,0,3,0,0,196,0,0,6,3,0,0,6.409845880482693,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2512.78,999999.0,0,0.0,2393.5,1.0498349697096303,119.2800000000002,0,0,0,6,0,0,3,0,0,188,0,0,6,3,0,0,7.829542875376663,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
