customer_id,account_age_days,avg_transaction_amount,usual_location,transaction_frequency
C00206,1152,978.44,Ahmedabad,low
C00207,1002,2515.72,Ahmedabad,medium
C00208,536,2513.68,Chennai,high
C00209,1022,2515.74,Delhi,medium
C00210,930,22022.44,Bengaluru,high
C00211,615,2608.74,Delhi,medium
C00212,717,3765.59,Pune,high
C00213,195,3346.41,Mumbai,low
C00214,503,2748.87,Kolkata,high
C00215,342,1466.48,Delhi,low
C00216,879,2947.97,Kolkata,medium
C00217,1141,1089.21,Ahmedabad,medium
C00218,157,1543.19,Delhi,medium
C00219,827,1312.98,Visakhapatnam,high
C00220,70,1898.39,Visakhapatnam,medium
C00221,1006,8103.65,Hyderabad,medium
C00222,641,534.76,Kolkata,medium
C00223,1132,2811.89,Vijayawada,high
C00224,481,630.98,Ahmedabad,low
C00225,588,1324.49,Kolkata,medium
C00226,89,3653.2,Kolkata,medium
C00227,1399,1876.8,Kolkata,high
C00228,368,893.38,Ahmedabad,low
C00229,1304,1130.7,Vijayawada,low
C00230,836,2799.74,Visakhapatnam,high
C00231,1387,1119.69,Hyderabad,low
C00232,1346,2071.94,Kolkata,low
C00233,975,1854.12,Mumbai,low
C00234,562,1178.5,Kolkata,medium
C00235,463,7252.53,Ahmedabad,medium
C00236,721,2717.83,Kolkata,medium
C00237,893,482.61,Chennai,low
C00238,993,2031.92,Hyderabad,high
C00239,1134,1170.73,Hyderabad,medium
C00240,489,3132.62,Bengaluru,high
C00241,112,1075.35,Hyderabad,low
C00242,438,1670.64,Hyderabad,high
C00243,342,2499.34,Delhi,low
C00244,999,3159.86,Bengaluru,high
C00245,476,824.97,Ahmedabad,high
C00246,554,1448.26,Pune,low
C00247,1270,1321.9,Visakhapatnam,high
C00248,264,1177.18,Mumbai,medium
C00249,251,5670.81,Visakhapatnam,low
C00250,668,2342.05,Visakhapatnam,high
C00251,798,793.11,Kolkata,high
C00252,436,3268.71,Bengaluru,high
C00253,1444,7150.54,Delhi,low
C00254,1457,3521.51,Chennai,high
C00255,1259,670.45,Bengaluru,high
C00256,114,1313.95,Pune,high
C00257,907,4101.2,Pune,low
C00258,1066,1136.33,Pune,low
C00259,890,2401.92,Ahmedabad,low
C00260,917,2978.14,Pune,high
C00261,971,985.39,Mumbai,medium
C00262,390,1731.69,Vijayawada,high
C00263,583,218.92,Visakhapatnam,high
C00264,1020,924.9,Ahmedabad,medium
C00265,1243,1527.48,Chennai,medium
C00266,532,799.9,Bengaluru,medium
C00267,953,5201.02,Delhi,medium
C00268,1197,710.49,Visakhapatnam,high
C00269,806,1352.23,Pune,low
C00270,1042,1959.65,Pune,low
C00271,1028,4593.37,Delhi,medium
C00272,559,707.85,Pune,medium
C00273,1250,3833.75,Chennai,high
C00274,50,1812.01,Vijayawada,low
C00275,205,951.04,Delhi,high
C00276,862,2430.64,Ahmedabad,high
C00277,522,2048.64,Ahmedabad,high
C00278,1487,1218.53,Ahmedabad,medium
C00279,65,1883.55,Bengaluru,medium
C00280,483,1401.21,Kolkata,high
C00281,528,1937.84,Chennai,high
C00282,1221,2768.13,Pune,medium
C00283,1163,5046.51,Vijayawada,medium
C00284,901,805.1,Vijayawada,medium
C00285,750,7201.28,Ahmedabad,medium
C00286,657,506.07,Chennai,low
C00287,277,1630.89,Delhi,medium
C00288,274,2638.45,Vijayawada,high
C00289,409,2160.7,Delhi,low
C00290,1021,1200.85,Chennai,high
C00291,1237,1572.25,Vijayawada,high
C00292,609,1306.48,Bengaluru,low
C00293,636,1227.16,Delhi,medium
C00294,397,3126.86,Chennai,low
C00295,1480,2270.15,Vijayawada,low
C00296,591,1147.28,Hyderabad,low
C00297,1163,3230.14,Chennai,high
C00298,288,2197.96,Ahmedabad,low
C00299,55,3053.07,Visakhapatnam,medium
C00300,991,2710.26,Ahmedabad,medium
C00301,727,1050.16,Mumbai,low
C00302,547,1250.66,Ahmedabad,low
C00303,163,2925.68,Kolkata,medium
C00304,181,2676.55,Visakhapatnam,high
C00305,1435,1775.71,Hyderabad,low
C00306,335,1942.64,Visakhapatnam,medium
C00307,204,4129.96,Delhi,low
C00308,1172,1225.4,Kolkata,high
C00309,1250,2568.7,Visakhapatnam,low
C00310,1100,1578.32,Kolkata,medium
C00311,936,1562.51,Chennai,high
C00312,908,3676.61,Chennai,high
C00313,1301,3078.08,Hyderabad,high
C00314,233,3054.35,Delhi,high
C00315,462,4205.31,Chennai,high
C00316,196,1824.74,Mumbai,low
C00317,385,2804.03,Vijayawada,low
C00318,350,1471.25,Hyderabad,medium
C00319,952,2222.19,Visakhapatnam,medium
C00320,626,1654.0,Hyderabad,low
C00321,620,1917.14,Chennai,high
C00322,959,2650.21,Bengaluru,high
C00323,508,1057.54,Chennai,high
C00324,1237,7013.51,Delhi,medium
C00325,265,936.01,Vijayawada,low
C00326,1356,817.56,Mumbai,medium
C00327,321,3821.18,Bengaluru,low
C00328,369,3011.29,Chennai,high
C00329,1195,2700.57,Chennai,medium
C00330,284,2708.0,Ahmedabad,high
C00331,652,1785.73,Kolkata,medium
C00332,1054,1004.58,Vijayawada,medium
C00333,926,1890.91,Bengaluru,high
C00334,111,1159.09,Kolkata,high
C00335,690,3392.66,Visakhapatnam,medium
C00336,82,1635.91,Bengaluru,low
C00337,1410,1052.55,Visakhapatnam,high
C00338,72,1460.66,Chennai,high
C00339,112,2354.18,Mumbai,medium
C00340,1092,1247.78,Ahmedabad,medium
C00341,401,1054.79,Visakhapatnam,medium
C00342,1330,2108.94,Ahmedabad,low
C00343,992,2110.69,Pune,medium
C00344,712,1294.69,Pune,high
C00345,244,1325.26,Mumbai,medium
C00346,873,2093.04,Ahmedabad,medium
C00347,1386,702.25,Kolkata,high
C00348,105,721.04,Ahmedabad,low
C00349,674,1128.4,Chennai,medium
C00350,267,1566.82,Kolkata,high
C00351,32,2203.12,Vijayawada,medium
C00352,876,4696.27,Hyderabad,low
C00353,1091,3143.28,Pune,high
C00354,1050,1622.27,Ahmedabad,low
C00355,446,1777.89,Chennai,high
C00356,298,938.14,Chennai,medium
C00357,1460,1778.47,Ahmedabad,low
C00358,89,1492.06,Visakhapatnam,low
C00359,1483,2220.1,Mumbai,medium
C00360,1158,1051.36,Hyderabad,high
C00361,865,2522.78,Bengaluru,low
C00362,262,4874.74,Ahmedabad,low
C00363,1356,1677.14,Mumbai,medium
C00364,1497,2337.07,Chennai,high
C00365,1474,2818.99,Chennai,medium
C00366,1018,1386.79,Ahmedabad,low
C00367,965,2082.25,Vijayawada,low
C00368,815,1814.79,Delhi,high
C00369,1070,1917.99,Mumbai,low
C00370,595,1089.08,Kolkata,medium
C00371,1069,1828.91,Chennai,low
C00372,609,2488.02,Chennai,high
C00373,1217,4622.94,Ahmedabad,low
C00374,944,3357.89,Vijayawada,medium
C00375,736,7296.21,Pune,high
C00376,1142,1093.09,Kolkata,medium
C00377,689,3173.37,Delhi,high
C00378,519,2027.82,Visakhapatnam,medium
C00379,508,7471.97,Kolkata,low
C00380,681,1064.38,Ahmedabad,high
C00381,810,1042.86,Kolkata,high
C00382,1365,1219.18,Mumbai,medium
C00383,105,452.6,Mumbai,high
C00384,1238,1278.96,Pune,low
C00385,931,1098.94,Bengaluru,high
C00386,965,1984.85,Hyderabad,high
C00387,325,2247.75,Kolkata,high
C00388,346,6093.96,Bengaluru,medium
C00389,572,3338.64,Pune,high
C00390,1448,1237.14,Kolkata,high
C00391,194,1003.82,Pune,high
C00392,1122,2478.2,Kolkata,medium
C00393,1313,763.1,Ahmedabad,high
C00394,103,5919.4,Visakhapatnam,low
C00395,510,3874.52,Chennai,low
C00396,215,1326.87,Kolkata,low
C00397,1327,591.11,Bengaluru,medium
C00398,370,4339.69,Chennai,low
C00399,124,1670.86,Pune,low
C00400,630,4024.37,Pune,medium
C00401,912,638.53,Mumbai,low
C00402,1117,1219.2,Kolkata,high
C00403,1426,1806.15,Mumbai,low
C00404,388,1855.82,Bengaluru,high
C00405,813,1343.45,Visakhapatnam,high
C00406,523,2698.35,Ahmedabad,high
C00407,323,899.27,Delhi,medium
C00408,1336,1640.89,Chennai,medium
C00409,552,1946.39,Hyderabad,medium
C00410,619,2514.75,Vijayawada,low
C00411,181,2858.61,Ahmedabad,medium
C00412,1233,866.55,Chennai,high
C00413,898,664.06,Chennai,medium
C00414,648,4130.0,Delhi,medium
C00415,1019,2233.99,Bengaluru,low
C00416,811,1106.58,Visakhapatnam,medium
C00417,1207,4933.43,Chennai,high
C00418,634,1940.56,Hyderabad,high
C00419,840,3874.16,Chennai,low
C00420,1189,1880.76,Hyderabad,high
C00421,1047,6870.75,Chennai,low
C00422,1273,5633.65,Pune,low
C00423,1333,1531.06,Delhi,high
C00424,543,3384.84,Mumbai,high
C00425,228,2738.15,Hyderabad,medium
C00426,932,4381.53,Hyderabad,high
C00427,777,961.35,Mumbai,low
C00428,634,2811.51,Pune,high
C00429,880,3581.43,Mumbai,low
C00430,300,573.85,Vijayawada,medium
C00431,1117,834.16,Vijayawada,medium
C00432,366,478.21,Chennai,medium
C00433,634,1510.85,Pune,low
C00434,989,2869.65,Bengaluru,low
C00435,492,4779.42,Kolkata,high
C00436,779,1888.81,Bengaluru,medium
C00437,58,5188.2,Chennai,high
C00438,283,733.98,Ahmedabad,medium
C00439,1407,594.87,Chennai,high
C00440,810,1736.17,Pune,low
C00441,1412,2310.42,Delhi,medium
C00442,81,1762.15,Visakhapatnam,high
C00443,701,469.52,Visakhapatnam,low
C00444,1356,1698.69,Bengaluru,high
C00445,980,770.96,Chennai,high
C00446,866,2781.73,Bengaluru,low
C00447,122,2284.34,Hyderabad,medium
C00448,1038,977.13,Bengaluru,low
C00449,510,1288.88,Vijayawada,low
C00450,825,904.2,Ahmedabad,medium
C00451,1403,1728.14,Vijayawada,medium
C00452,1232,3348.89,Mumbai,medium
C00453,1371,948.44,Bengaluru,medium
C00454,1290,2497.82,Kolkata,medium
C00455,97,1275.22,Pune,low
C00456,938,1075.11,Ahmedabad,low
C00457,772,1679.03,Bengaluru,high
C00458,782,918.4,Vijayawada,high
C00459,764,1255.98,Hyderabad,medium
C00460,595,826.27,Delhi,low
C00461,961,6455.02,Bengaluru,high
C00462,464,1841.73,Visakhapatnam,low
C00463,133,1142.21,Pune,low
C00464,287,2068.6,Visakhapatnam,low
C00465,170,1673.26,Vijayawada,low
C00466,1230,1559.17,Delhi,low
C00467,702,2683.16,Mumbai,high
C00468,35,2945.17,Chennai,low
C00469,296,1275.02,Vijayawada,medium
C00470,387,1238.01,Bengaluru,high
C00471,82,1505.32,Mumbai,low
C00472,763,403.14,Delhi,high
C00473,693,672.28,Hyderabad,low
C00474,573,4376.52,Hyderabad,low
C00475,892,5243.64,Vijayawada,low
C00476,160,1530.99,Ahmedabad,medium
C00477,771,2618.36,Vijayawada,high
C00478,253,2203.62,Ahmedabad,high
C00479,483,13317.24,Visakhapatnam,low
C00480,1379,3726.65,Vijayawada,medium
C00481,968,1656.39,Hyderabad,low
C00482,1010,967.23,Kolkata,medium
C00483,1435,633.56,Bengaluru,medium
C00484,1488,2054.51,Ahmedabad,low
C00485,195,1100.93,Pune,high
C00486,333,714.14,Bengaluru,low
C00487,593,1182.36,Visakhapatnam,high
C00488,1228,891.17,Vijayawada,high
C00489,695,5389.37,Kolkata,high
C00490,1116,3192.65,Chennai,medium
C00491,1065,1790.7,Visakhapatnam,medium
C00492,233,4710.29,Bengaluru,high
C00493,1363,1892.84,Vijayawada,high
C00494,470,1028.35,Kolkata,medium
C00495,497,4844.37,Kolkata,medium
C00496,958,2555.07,Kolkata,medium
C00497,224,917.21,Pune,medium
C00498,670,1590.53,Chennai,medium
C00499,342,1018.81,Ahmedabad,low
C00500,216,732.69,Bengaluru,low
C00501,914,3286.43,Bengaluru,high
C00502,793,6227.08,Mumbai,high
C00503,152,725.22,Visakhapatnam,high
C00504,1180,2595.34,Pune,high
C00505,280,1179.24,Kolkata,medium
C00506,1392,1311.48,Kolkata,high
C00507,135,1224.74,Chennai,high
C00508,669,1026.54,Pune,low
C00509,1213,1857.68,Vijayawada,low
C00510,346,1048.82,Ahmedabad,low
C00511,251,2145.95,Pune,high
C00512,782,1742.17,Bengaluru,medium
C00513,1205,1541.06,Delhi,medium
C00514,1178,997.87,Visakhapatnam,high
C00515,1412,1237.24,Vijayawada,low
C00516,1277,2941.12,Chennai,low
C00517,399,2492.74,Chennai,high
C00518,662,953.49,Pune,medium
C00519,42,1920.05,Mumbai,low
C00520,1189,2933.48,Kolkata,low
C00521,320,608.15,Hyderabad,low
C00522,1116,2562.47,Delhi,medium
C00523,889,1170.09,Ahmedabad,medium
C00524,352,2608.24,Pune,medium
C00525,694,1096.0,Visakhapatnam,high
C00526,203,556.89,Hyderabad,low
C00527,352,624.93,Visakhapatnam,low
C00528,1410,1857.15,Bengaluru,medium
C00529,937,2131.03,Kolkata,medium
C00530,1273,999.98,Ahmedabad,medium
C00531,589,2726.1,Delhi,high
C00532,263,611.28,Pune,medium
C00533,257,1724.32,Chennai,high
C00534,1419,819.24,Visakhapatnam,medium
C00535,1109,1178.32,Chennai,low
C00536,481,1856.32,Kolkata,high
C00537,142,1028.93,Hyderabad,low
C00538,647,1401.9,Delhi,low
C00539,553,3462.11,Chennai,medium
C00540,275,1237.15,Hyderabad,medium
C00541,911,3098.71,Mumbai,low
C00542,808,863.71,Vijayawada,high
C00543,501,2539.99,Vijayawada,high
C00544,1398,4594.25,Pune,low
C00545,843,361.03,Hyderabad,medium
C00546,68,1072.3,Ahmedabad,low
C00547,671,2619.24,Visakhapatnam,medium
C00548,1204,1577.45,Kolkata,high
C00549,1341,2291.1,Kolkata,medium
C00550,265,1215.55,Kolkata,low
C00551,695,1904.22,Mumbai,high
C00552,972,1626.77,Pune,low
C00553,924,3845.27,Bengaluru,low
C00554,922,2123.7,Visakhapatnam,medium
C00555,1103,2241.69,Bengaluru,medium
C00556,665,1377.22,Pune,low
C00557,712,1311.07,Mumbai,low
C00558,1075,1358.83,Bengaluru,high
C00559,1074,2326.07,Delhi,medium
C00560,749,1369.09,Mumbai,low
C00561,240,2173.07,Mumbai,medium
C00562,434,6936.5,Mumbai,high
C00563,343,3170.91,Bengaluru,low
C00564,1316,1456.26,Ahmedabad,medium
C00565,1184,3929.75,Visakhapatnam,medium
C00566,1424,1380.63,Visakhapatnam,high
C00567,1331,478.55,Visakhapatnam,medium
C00568,1314,934.76,Pune,low
C00569,930,533.54,Bengaluru,medium
C00570,935,1432.33,Chennai,medium
C00571,1241,1821.68,Hyderabad,medium
C00572,1069,5352.0,Bengaluru,medium
C00573,975,2226.19,Ahmedabad,low
C00574,146,1561.07,Pune,medium
C00575,187,3086.08,Bengaluru,high
C00576,1246,427.65,Vijayawada,medium
C00577,977,2097.9,Visakhapatnam,high
C00578,114,2970.85,Ahmedabad,high
C00579,1364,688.46,Delhi,medium
C00580,1269,3785.68,Ahmedabad,high
C00581,338,2242.99,Hyderabad,medium
C00582,241,1374.17,Pune,high
C00583,202,2715.82,Vijayawada,high
C00584,383,7875.35,Hyderabad,low
C00585,1479,2025.87,Ahmedabad,medium
C00586,1103,2115.16,Vijayawada,high
C00587,355,1335.36,Pune,medium
C00588,609,1036.02,Kolkata,medium
C00589,722,3087.94,Visakhapatnam,low
C00590,1322,1031.83,Pune,low
C00591,705,1885.71,Bengaluru,high
C00592,1419,1319.57,Kolkata,medium
C00593,546,2457.45,Visakhapatnam,low
C00594,712,2235.95,Bengaluru,high
C00595,1389,3533.14,Mumbai,medium
C00596,665,1292.11,Kolkata,low
C00597,1248,1510.39,Bengaluru,medium
C00598,1174,952.74,Kolkata,high
C00599,702,1348.5,Mumbai,high
C00600,1469,2300.28,Vijayawada,low
C00601,1353,2944.18,Kolkata,high
C00602,771,988.45,Hyderabad,medium
C00603,662,3167.78,Mumbai,low
C00604,729,4344.68,Ahmedabad,low
C00605,493,2354.95,Mumbai,low
C00606,188,6096.43,Chennai,low
C00607,1069,1088.53,Vijayawada,high
C00608,1108,801.53,Hyderabad,high
C00609,719,566.44,Visakhapatnam,low
C00610,1253,4759.85,Kolkata,low
C00611,362,2754.19,Mumbai,high
C00612,1309,1736.13,Mumbai,high
C00613,926,2159.26,Hyderabad,medium
C00614,776,866.08,Delhi,medium
C00615,1280,8824.44,Chennai,high
C00616,949,1957.72,Delhi,high
C00617,519,1932.65,Chennai,medium
C00618,427,2885.03,Pune,high
C00619,1198,2460.69,Ahmedabad,medium
C00620,607,2081.96,Kolkata,high
C00621,1110,1076.78,Kolkata,low
C00622,438,2445.48,Visakhapatnam,low
C00623,542,6117.19,Hyderabad,high
C00624,1014,4315.92,Pune,high
C00625,240,5070.09,Vijayawada,low
C00626,613,1291.1,Bengaluru,low
C00627,588,946.05,Ahmedabad,high
C00628,331,1658.69,Kolkata,low
C00629,484,1866.39,Ahmedabad,medium
C00630,84,3665.67,Kolkata,low
C00631,841,599.11,Vijayawada,medium
C00632,512,4864.65,Kolkata,low
C00633,797,1624.31,Delhi,low
C00634,682,1363.85,Bengaluru,high
C00635,1361,932.32,Pune,low
C00636,311,613.93,Hyderabad,medium
C00637,997,3073.59,Mumbai,high
C00638,990,1887.86,Ahmedabad,high
C00639,40,778.27,Bengaluru,low
C00640,554,775.68,Delhi,low
C00641,1153,1447.05,Visakhapatnam,high
C00642,896,5326.27,Bengaluru,medium
C00643,516,1520.52,Chennai,low
C00644,127,677.56,Delhi,medium
C00645,1338,1534.27,Visakhapatnam,medium
C00646,158,1507.6,Bengaluru,medium
C00647,1252,311.86,Vijayawada,low
C00648,1324,1737.58,Vijayawada,high
C00649,525,1549.11,Mumbai,medium
C00650,909,2830.12,Hyderabad,high
C00651,752,5987.11,Delhi,high
C00652,883,3743.62,Mumbai,high
C00653,1398,1511.36,Bengaluru,high
C00654,768,876.82,Bengaluru,high
C00655,1144,9587.6,Vijayawada,high
C00656,1164,1870.64,Hyderabad,medium
C00657,992,1816.37,Hyderabad,high
C00658,822,1771.99,Pune,medium
C00659,63,2047.34,Pune,low
C00660,736,1638.78,Delhi,high
C00661,1375,1239.75,Bengaluru,high
C00662,710,1261.53,Mumbai,low
C00663,751,1762.08,Vijayawada,medium
C00664,1346,1264.35,Mumbai,high
C00665,981,1132.51,Ahmedabad,high
C00666,403,1928.93,Mumbai,low
C00667,1496,1525.09,Ahmedabad,low
C00668,630,4784.5,Delhi,low
C00669,438,321.31,Hyderabad,medium
C00670,665,3659.28,Vijayawada,medium
C00671,1142,4046.05,Ahmedabad,medium
C00672,104,467.71,Delhi,medium
C00673,761,1440.57,Hyderabad,high
C00674,709,1413.9,Chennai,low
C00675,783,721.01,Kolkata,medium
C00676,930,1085.68,Kolkata,medium
C00677,412,874.51,Ahmedabad,high
C00678,1048,5622.42,Pune,high
C00679,576,3306.79,Bengaluru,high
C00680,899,4113.6,Bengaluru,medium
C00681,1263,2877.36,Mumbai,high
C00682,631,864.07,Pune,low
C00683,193,1279.99,Pune,high
C00684,635,2474.11,Chennai,medium
C00685,1264,813.35,Kolkata,low
C00686,1442,2861.18,Ahmedabad,medium
C00687,945,1539.68,Hyderabad,high
C00688,752,1410.79,Visakhapatnam,medium
C00689,592,2857.4,Hyderabad,low
C00690,1404,2402.62,Kolkata,medium
C00691,1080,1423.56,Mumbai,low
C00692,322,3824.21,Visakhapatnam,high
C00693,927,891.45,Hyderabad,low
C00694,167,2686.25,Delhi,high
C00695,780,2646.67,Pune,medium
C00696,1191,1471.94,Hyderabad,high
C00697,344,2225.04,Ahmedabad,medium
C00698,791,798.17,Ahmedabad,low
C00699,1205,3281.84,Mumbai,high
C00700,781,1596.16,Kolkata,medium
C00701,1360,1281.48,Chennai,low
