ring_id,customer_id,shared_device_id,shared_ip_id
R0013,C04522,D03227,IP01706
R0013,C07976,D03227,IP01706
R0013,C04183,D03227,IP01706
R0013,C04092,D03227,IP01706
R0013,C03130,D03227,IP01706
R0013,C03810,D03227,IP01706
R0014,C07918,D03549,IP07512
R0014,C06736,D03549,IP07512
R0014,C08290,D03549,IP07512
R0014,C02623,D03549,IP07512
R0014,C04786,D03549,IP07512
R0014,C08859,D03549,IP07512
R0015,C09103,D03103,IP00825
R0015,C01769,D03103,IP00825
R0015,C01382,D03103,IP00825
R0015,C06042,D03103,IP00825
R0015,C00997,D03103,IP00825
R0015,C08319,D03103,IP00825
R0015,C06262,D03103,IP00825
R0015,C02433,D03103,IP00825
R0015,C00879,D03103,IP00825
R0015,C04296,D03103,IP00825
R0016,C05950,D00532,IP03016
R0016,C02335,D00532,IP03016
R0016,C09651,D00532,IP03016
R0016,C01145,D00532,IP03016
R0016,C05209,D00532,IP03016
R0016,C02219,D00532,IP03016
R0016,C02505,D00532,IP03016
R0016,C06790,D00532,IP03016
R0016,C07421,D00532,IP03016
R0017,C04953,D02755,IP04815
R0017,C09456,D02755,IP04815
R0017,C06450,D02755,IP04815
R0017,C04785,D02755,IP04815
R0017,C09391,D02755,IP04815
R0018,C06673,D03920,IP01188
R0018,C04214,D03920,IP01188
R0018,C07805,D03920,IP01188
R0018,C03901,D03920,IP01188
R0018,C04337,D03920,IP01188
R0018,C02141,D03920,IP01188
R0018,C06295,D03920,IP01188
R0019,C02689,D02172,IP07269
R0019,C07671,D02172,IP07269
R0019,C00119,D02172,IP07269
R0019,C06666,D02172,IP07269
R0019,C07647,D02172,IP07269
R0019,C07090,D02172,IP07269
R0019,C08438,D02172,IP07269
R0019,C02018,D02172,IP07269
R0019,C01824,D02172,IP07269
R0020,C08103,D01480,IP04671
R0020,C09918,D01480,IP04671
R0020,C03160,D01480,IP04671
R0020,C02492,D01480,IP04671
R0020,C05765,D01480,IP04671
R0021,C07669,D04229,IP02969
R0021,C03851,D04229,IP02969
R0021,C04561,D04229,IP02969
R0021,C05213,D04229,IP02969
R0021,C06715,D04229,IP02969
R0021,C03658,D04229,IP02969
R0021,C01898,D04229,IP02969
R0022,C05160,D01715,IP00164
R0022,C08013,D01715,IP00164
R0022,C02404,D01715,IP00164
R0022,C04269,D01715,IP00164
R0022,C09522,D01715,IP00164
R0022,C06526,D01715,IP00164
R0022,C05290,D01715,IP00164
R0023,C07982,D00591,IP04670
R0023,C09265,D00591,IP04670
R0023,C02524,D00591,IP04670
R0023,C07315,D00591,IP04670
R0023,C05632,D00591,IP04670
R0024,C03908,D01719,IP03293
R0024,C00145,D01719,IP03293
R0024,C08081,D01719,IP03293
R0024,C02648,D01719,IP03293
R0024,C07311,D01719,IP03293
R0024,C00202,D01719,IP03293
R0024,C01088,D01719,IP03293
R0024,C09967,D01719,IP03293
R0024,C06041,D01719,IP03293
R0025,C03296,D03587,IP07352
R0025,C00600,D03587,IP07352
R0025,C08756,D03587,IP07352
R0025,C01219,D03587,IP07352
R0025,C01195,D03587,IP07352
R0025,C08883,D03587,IP07352
R0026,C04145,D00230,IP07176
R0026,C03605,D00230,IP07176
R0026,C03417,D00230,IP07176
R0026,C01906,D00230,IP07176
R0026,C06210,D00230,IP07176
R0026,C08929,D00230,IP07176
R0026,C06720,D00230,IP07176
R0026,C01541,D00230,IP07176
R0027,C01746,D02771,IP04198
R0027,C02966,D02771,IP04198
R0027,C02189,D02771,IP04198
R0027,C07741,D02771,IP04198
R0027,C08215,D02771,IP04198
R0028,C09626,D02441,IP03011
R0028,C08214,D02441,IP03011
R0028,C04841,D02441,IP03011
R0028,C05557,D02441,IP03011
R0028,C02276,D02441,IP03011
R0028,C08409,D02441,IP03011
R0028,C03340,D02441,IP03011
R0028,C09824,D02441,IP03011
R0028,C00215,D02441,IP03011
R0029,C01612,D00632,IP03345
R0029,C08781,D00632,IP03345
R0029,C01867,D00632,IP03345
R0029,C05296,D00632,IP03345
R0029,C08642,D00632,IP03345
R0029,C04070,D00632,IP03345
R0029,C04475,D00632,IP03345
R0030,C09596,D04700,IP00562
R0030,C06219,D04700,IP00562
R0030,C01430,D04700,IP00562
R0030,C08137,D04700,IP00562
R0030,C06934,D04700,IP00562
R0031,C08019,D03797,IP05789
R0031,C03362,D03797,IP05789
R0031,C03618,D03797,IP05789
R0031,C04458,D03797,IP05789
R0031,C08073,D03797,IP05789
R0032,C05477,D02273,IP04996
R0032,C05070,D02273,IP04996
R0032,C01001,D02273,IP04996
R0032,C02596,D02273,IP04996
R0032,C04832,D02273,IP04996
R0032,C09119,D02273,IP04996
R0032,C01529,D02273,IP04996
R0032,C05076,D02273,IP04996
R0032,C08371,D02273,IP04996
R0033,C07529,D01713,IP07948
R0033,C09892,D01713,IP07948
R0033,C02071,D01713,IP07948
R0033,C05058,D01713,IP07948
R0033,C07539,D01713,IP07948
R0033,C07161,D01713,IP07948
R0033,C06402,D01713,IP07948
R0033,C01634,D01713,IP07948
R0033,C08462,D01713,IP07948
R0033,C05770,D01713,IP07948
R0034,C08228,D01435,IP01578
R0034,C06703,D01435,IP01578
R0034,C04790,D01435,IP01578
R0034,C09282,D01435,IP01578
R0034,C02885,D01435,IP01578
R0034,C06098,D01435,IP01578
R0034,C06687,D01435,IP01578
R0034,C03003,D01435,IP01578
R0034,C06893,D01435,IP01578
R0035,C02909,D04541,IP03710
R0035,C09015,D04541,IP03710
R0035,C09688,D04541,IP03710
R0035,C04125,D04541,IP03710
R0035,C07000,D04541,IP03710
R0035,C02639,D04541,IP03710
R0036,C08673,D02870,IP04971
R0036,C04617,D02870,IP04971
R0036,C07660,D02870,IP04971
R0036,C06544,D02870,IP04971
R0036,C04104,D02870,IP04971
R0037,C05185,D02848,IP02903
R0037,C09198,D02848,IP02903
R0037,C04611,D02848,IP02903
R0037,C06044,D02848,IP02903
R0037,C03557,D02848,IP02903
R0037,C01499,D02848,IP02903
R0037,C07896,D02848,IP02903
R0037,C09079,D02848,IP02903
R0037,C06686,D02848,IP02903
R0037,C09443,D02848,IP02903
R0038,C08713,D03955,IP00924
R0038,C04840,D03955,IP00924
R0038,C09358,D03955,IP00924
R0038,C05277,D03955,IP00924
R0038,C04568,D03955,IP00924
R0038,C03831,D03955,IP00924
R0038,C03621,D03955,IP00924
R0039,C03434,D02811,IP04392
R0039,C07740,D02811,IP04392
R0039,C01781,D02811,IP04392
R0039,C03998,D02811,IP04392
R0039,C05248,D02811,IP04392
R0039,C04650,D02811,IP04392
R0039,C06762,D02811,IP04392
R0039,C02070,D02811,IP04392
R0040,C08860,D03603,IP00401
R0040,C03139,D03603,IP00401
R0040,C00133,D03603,IP00401
R0040,C07254,D03603,IP00401
R0040,C04696,D03603,IP00401
R0040,C04195,D03603,IP00401
R0040,C02901,D03603,IP00401
R0041,C02495,D04739,IP06245
R0041,C09191,D04739,IP06245
R0041,C03502,D04739,IP06245
R0041,C07774,D04739,IP06245
R0041,C07389,D04739,IP06245
R0042,C01719,D04316,IP06593
R0042,C05926,D04316,IP06593
R0042,C02697,D04316,IP06593
R0042,C06014,D04316,IP06593
R0042,C09583,D04316,IP06593
R0042,C01455,D04316,IP06593
R0042,C07027,D04316,IP06593
R0042,C01345,D04316,IP06593
R0043,C03136,D00857,IP00758
R0043,C08679,D00857,IP00758
R0043,C05334,D00857,IP00758
R0043,C00192,D00857,IP00758
R0043,C05592,D00857,IP00758
R0043,C03075,D00857,IP00758
R0043,C08382,D00857,IP00758
R0043,C06693,D00857,IP00758
R0043,C05533,D00857,IP00758
R0044,C02787,D04741,IP00215
R0044,C04571,D04741,IP00215
R0044,C00288,D04741,IP00215
R0044,C09628,D04741,IP00215
R0044,C01540,D04741,IP00215
R0045,C02339,D04921,IP00101
R0045,C09781,D04921,IP00101
R0045,C08693,D04921,IP00101
R0045,C03726,D04921,IP00101
R0045,C08285,D04921,IP00101
R0045,C05830,D04921,IP00101
R0045,C02537,D04921,IP00101
R0045,C06003,D04921,IP00101
R0045,C06552,D04921,IP00101
R0045,C05444,D04921,IP00101
R0046,C04846,D02508,IP01645
R0046,C00550,D02508,IP01645
R0046,C06960,D02508,IP01645
R0046,C08387,D02508,IP01645
R0046,C07243,D02508,IP01645
R0046,C01417,D02508,IP01645
R0046,C08451,D02508,IP01645
R0046,C06034,D02508,IP01645
R0046,C07987,D02508,IP01645
R0046,C07587,D02508,IP01645
R0047,C06443,D04085,IP00495
R0047,C09408,D04085,IP00495
R0047,C01660,D04085,IP00495
R0047,C06143,D04085,IP00495
R0047,C07420,D04085,IP00495
R0047,C07940,D04085,IP00495
R0048,C05669,D00596,IP06776
R0048,C09882,D00596,IP06776
R0048,C00238,D00596,IP06776
R0048,C01474,D00596,IP06776
R0048,C05399,D00596,IP06776
R0048,C00714,D00596,IP06776
R0048,C02265,D00596,IP06776
R0048,C01327,D00596,IP06776
R0049,C06594,D03674,IP04442
R0049,C07980,D03674,IP04442
R0049,C04562,D03674,IP04442
R0049,C08689,D03674,IP04442
R0049,C02014,D03674,IP04442
R0049,C07626,D03674,IP04442
R0049,C06106,D03674,IP04442
R0049,C02431,D03674,IP04442
R0049,C03893,D03674,IP04442
R0050,C09427,D01512,IP04546
R0050,C07505,D01512,IP04546
R0050,C08191,D01512,IP04546
R0050,C03228,D01512,IP04546
R0050,C08572,D01512,IP04546
R0050,C07292,D01512,IP04546
R0050,C03953,D01512,IP04546
R0050,C03111,D01512,IP04546
R0051,C09758,D01419,IP05279
R0051,C06360,D01419,IP05279
R0051,C05396,D01419,IP05279
R0051,C06222,D01419,IP05279
R0051,C05790,D01419,IP05279
R0051,C09061,D01419,IP05279
R0051,C09677,D01419,IP05279
R0051,C09807,D01419,IP05279
R0051,C07453,D01419,IP05279
R0051,C08048,D01419,IP05279
R0052,C07753,D03739,IP02358
R0052,C02548,D03739,IP02358
R0052,C09997,D03739,IP02358
R0052,C06826,D03739,IP02358
R0052,C06155,D03739,IP02358
R0053,C04392,D03942,IP05081
R0053,C05223,D03942,IP05081
R0053,C05970,D03942,IP05081
R0053,C08900,D03942,IP05081
R0053,C03379,D03942,IP05081
R0053,C01869,D03942,IP05081
R0053,C05020,D03942,IP05081
R0053,C05518,D03942,IP05081
R0054,C07783,D01818,IP03232
R0054,C00095,D01818,IP03232
R0054,C07953,D01818,IP03232
R0054,C08357,D01818,IP03232
R0054,C04031,D01818,IP03232
R0054,C01625,D01818,IP03232
R0055,C00189,D03528,IP00722
R0055,C03063,D03528,IP00722
R0055,C01128,D03528,IP00722
R0055,C06603,D03528,IP00722
R0055,C04918,D03528,IP00722
R0055,C01179,D03528,IP00722
R0055,C01277,D03528,IP00722
R0055,C09872,D03528,IP00722
R0056,C04787,D04095,IP04807
R0056,C09965,D04095,IP04807
R0056,C03133,D04095,IP04807
R0056,C05332,D04095,IP04807
R0056,C04701,D04095,IP04807
R0057,C00359,D03425,IP00949
R0057,C08455,D03425,IP00949
R0057,C06767,D03425,IP00949
R0057,C02668,D03425,IP00949
R0057,C09789,D03425,IP00949
R0057,C06705,D03425,IP00949
R0057,C04169,D03425,IP00949
R0057,C05069,D03425,IP00949
R0057,C05004,D03425,IP00949
R0057,C05852,D03425,IP00949
R0058,C08576,D03622,IP03527
R0058,C05649,D03622,IP03527
R0058,C08140,D03622,IP03527
R0058,C03017,D03622,IP03527
R0058,C07164,D03622,IP03527
R0058,C08324,D03622,IP03527
R0058,C09639,D03622,IP03527
R0058,C03774,D03622,IP03527
R0059,C08990,D03894,IP05653
R0059,C09869,D03894,IP05653
R0059,C09040,D03894,IP05653
R0059,C04450,D03894,IP05653
R0059,C05212,D03894,IP05653
R0059,C07351,D03894,IP05653
R0059,C07165,D03894,IP05653
R0059,C09454,D03894,IP05653
R0060,C06500,D02927,IP07258
R0060,C03886,D02927,IP07258
R0060,C03712,D02927,IP07258
R0060,C09615,D02927,IP07258
R0060,C01255,D02927,IP07258
R0061,C09937,D00872,IP07937
R0061,C00054,D00872,IP07937
R0061,C06023,D00872,IP07937
R0061,C09644,D00872,IP07937
R0061,C05193,D00872,IP07937
R0061,C04935,D00872,IP07937
R0061,C07270,D00872,IP07937
R0061,C09339,D00872,IP07937
R0062,C02559,D03764,IP00983
R0062,C02047,D03764,IP00983
R0062,C08086,D03764,IP00983
R0062,C03739,D03764,IP00983
R0062,C02852,D03764,IP00983
R0062,C00250,D03764,IP00983
R0062,C03758,D03764,IP00983
R0062,C09874,D03764,IP00983
R0062,C02518,D03764,IP00983
R0063,C08973,D01163,IP00374
R0063,C08846,D01163,IP00374
R0063,C09063,D01163,IP00374
R0063,C04975,D01163,IP00374
R0063,C00908,D01163,IP00374
R0063,C04377,D01163,IP00374
R0063,C02854,D01163,IP00374
R0063,C03543,D01163,IP00374
R0063,C01283,D01163,IP00374
R0064,C03548,D03618,IP04370
R0064,C09667,D03618,IP04370
R0064,C04028,D03618,IP04370
R0064,C02756,D03618,IP04370
R0064,C04382,D03618,IP04370
R0065,C01803,D01915,IP03977
R0065,C07999,D01915,IP03977
R0065,C02409,D01915,IP03977
R0065,C05907,D01915,IP03977
R0065,C02494,D01915,IP03977
R0065,C09665,D01915,IP03977
R0065,C02779,D01915,IP03977
R0065,C07842,D01915,IP03977
R0065,C07608,D01915,IP03977
R0066,C01066,D04490,IP04014
R0066,C04748,D04490,IP04014
R0066,C04869,D04490,IP04014
R0066,C03891,D04490,IP04014
R0066,C02898,D04490,IP04014
R0066,C07829,D04490,IP04014
R0066,C02573,D04490,IP04014
R0067,C06946,D02466,IP02576
R0067,C09972,D02466,IP02576
R0067,C07632,D02466,IP02576
R0067,C00207,D02466,IP02576
R0067,C02587,D02466,IP02576
R0067,C05078,D02466,IP02576
R0067,C05662,D02466,IP02576
R0068,C09952,D03076,IP00698
R0068,C07375,D03076,IP00698
R0068,C04989,D03076,IP00698
R0068,C00871,D03076,IP00698
R0068,C03462,D03076,IP00698
R0068,C05523,D03076,IP00698
R0068,C03864,D03076,IP00698
R0068,C00734,D03076,IP00698
R0068,C05263,D03076,IP00698
R0069,C06846,D04622,IP00392
R0069,C08475,D04622,IP00392
R0069,C03442,D04622,IP00392
R0069,C02583,D04622,IP00392
R0069,C08722,D04622,IP00392
R0069,C09961,D04622,IP00392
R0069,C06969,D04622,IP00392
R0069,C02285,D04622,IP00392
R0069,C08998,D04622,IP00392
R0069,C03634,D04622,IP00392
R0070,C01629,D01383,IP04053
R0070,C05045,D01383,IP04053
R0070,C05515,D01383,IP04053
R0070,C01875,D01383,IP04053
R0070,C07916,D01383,IP04053
R0070,C03021,D01383,IP04053
R0071,C02184,D02015,IP02446
R0071,C06323,D02015,IP02446
R0071,C09005,D02015,IP02446
R0071,C07029,D02015,IP02446
R0071,C08418,D02015,IP02446
R0071,C06620,D02015,IP02446
R0071,C02703,D02015,IP02446
R0071,C07195,D02015,IP02446
R0071,C09468,D02015,IP02446
R0072,C03898,D03483,IP03868
R0072,C00649,D03483,IP03868
R0072,C07654,D03483,IP03868
R0072,C02521,D03483,IP03868
R0072,C01984,D03483,IP03868
R0072,C08282,D03483,IP03868
R0072,C07858,D03483,IP03868
R0072,C02720,D03483,IP03868
R0072,C06847,D03483,IP03868
R0072,C03326,D03483,IP03868
R0073,C06051,D04266,IP05665
R0073,C08556,D04266,IP05665
R0073,C04302,D04266,IP05665
R0073,C08577,D04266,IP05665
R0073,C08759,D04266,IP05665
R0073,C01904,D04266,IP05665
R0073,C08562,D04266,IP05665
R0074,C04078,D02677,IP00941
R0074,C01120,D02677,IP00941
R0074,C03562,D02677,IP00941
R0074,C01997,D02677,IP00941
R0074,C09725,D02677,IP00941
R0074,C07061,D02677,IP00941
R0074,C08987,D02677,IP00941
R0074,C02550,D02677,IP00941
R0074,C04424,D02677,IP00941
R0075,C09237,D04178,IP02874
R0075,C01340,D04178,IP02874
R0075,C00459,D04178,IP02874
R0075,C04497,D04178,IP02874
R0075,C04484,D04178,IP02874
R0075,C09469,D04178,IP02874
R0075,C07462,D04178,IP02874
R0075,C01891,D04178,IP02874
R0075,C05118,D04178,IP02874
R0076,C04946,D01537,IP07765
R0076,C09542,D01537,IP07765
R0076,C00791,D01537,IP07765
R0076,C07977,D01537,IP07765
R0076,C05536,D01537,IP07765
R0077,C02564,D01816,IP03450
R0077,C07817,D01816,IP03450
R0077,C08134,D01816,IP03450
R0077,C00325,D01816,IP03450
R0077,C01765,D01816,IP03450
R0077,C00294,D01816,IP03450
R0077,C06422,D01816,IP03450
R0077,C00084,D01816,IP03450
R0078,C08245,D00637,IP01752
R0078,C03964,D00637,IP01752
R0078,C03904,D00637,IP01752
R0078,C06171,D00637,IP01752
R0078,C01470,D00637,IP01752
R0078,C04021,D00637,IP01752
R0079,C00138,D03225,IP05008
R0079,C05906,D03225,IP05008
R0079,C07617,D03225,IP05008
R0079,C03103,D03225,IP05008
R0079,C04822,D03225,IP05008
R0079,C01084,D03225,IP05008
R0079,C05554,D03225,IP05008
R0079,C09850,D03225,IP05008
R0080,C09491,D00824,IP00793
R0080,C01192,D00824,IP00793
R0080,C03996,D00824,IP00793
R0080,C01690,D00824,IP00793
R0080,C08707,D00824,IP00793
R0080,C02415,D00824,IP00793
R0081,C09334,D03922,IP06439
R0081,C03537,D03922,IP06439
R0081,C02711,D03922,IP06439
R0081,C06492,D03922,IP06439
R0081,C05980,D03922,IP06439
R0081,C06465,D03922,IP06439
R0081,C09987,D03922,IP06439
R0081,C05142,D03922,IP06439
R0082,C09154,D02580,IP02808
R0082,C00198,D02580,IP02808
R0082,C02079,D02580,IP02808
R0082,C04086,D02580,IP02808
R0082,C09921,D02580,IP02808
R0082,C01983,D02580,IP02808
R0083,C00055,D03454,IP01904
R0083,C06432,D03454,IP01904
R0083,C08070,D03454,IP01904
R0083,C07156,D03454,IP01904
R0083,C03838,D03454,IP01904
R0083,C01649,D03454,IP01904
R0083,C06242,D03454,IP01904
R0084,C06578,D04672,IP01707
R0084,C03509,D04672,IP01707
R0084,C02786,D04672,IP01707
R0084,C01881,D04672,IP01707
R0084,C07032,D04672,IP01707
R0084,C09571,D04672,IP01707
R0084,C08117,D04672,IP01707
R0084,C03144,D04672,IP01707
R0085,C05485,D03940,IP05787
R0085,C05733,D03940,IP05787
R0085,C09846,D03940,IP05787
R0085,C04046,D03940,IP05787
R0085,C02420,D03940,IP05787
R0085,C05680,D03940,IP05787
R0085,C00376,D03940,IP05787
R0086,C08757,D02177,IP02049
R0086,C08879,D02177,IP02049
R0086,C06117,D02177,IP02049
R0086,C01992,D02177,IP02049
R0086,C07471,D02177,IP02049
R0086,C07511,D02177,IP02049
R0086,C01750,D02177,IP02049
R0086,C08804,D02177,IP02049
R0086,C05327,D02177,IP02049
R0087,C09359,D01592,IP01682
R0087,C00592,D01592,IP01682
R0087,C06067,D01592,IP01682
R0087,C08412,D01592,IP01682
R0087,C05986,D01592,IP01682
R0088,C08910,D03423,IP07249
R0088,C03958,D03423,IP07249
R0088,C01928,D03423,IP07249
R0088,C06148,D03423,IP07249
R0088,C05498,D03423,IP07249
R0088,C02414,D03423,IP07249
R0089,C08788,D00331,IP01386
R0089,C07463,D00331,IP01386
R0089,C01155,D00331,IP01386
R0089,C06040,D00331,IP01386
R0089,C08298,D00331,IP01386
R0089,C05917,D00331,IP01386
R0089,C01549,D00331,IP01386
R0089,C08803,D00331,IP01386
R0090,C05698,D00835,IP05730
R0090,C02710,D00835,IP05730
R0090,C07049,D00835,IP05730
R0090,C01216,D00835,IP05730
R0090,C08278,D00835,IP05730
R0090,C02944,D00835,IP05730
R0090,C07492,D00835,IP05730
R0090,C06772,D00835,IP05730
R0091,C01439,D04090,IP03239
R0091,C07567,D04090,IP03239
R0091,C02809,D04090,IP03239
R0091,C06674,D04090,IP03239
R0091,C04250,D04090,IP03239
R0091,C09710,D04090,IP03239
R0092,C08940,D00507,IP07156
R0092,C02151,D00507,IP07156
R0092,C02994,D00507,IP07156
R0092,C07677,D00507,IP07156
R0092,C02504,D00507,IP07156
R0093,C05834,D02635,IP01494
R0093,C08142,D02635,IP01494
R0093,C01324,D02635,IP01494
R0093,C05150,D02635,IP01494
R0093,C00031,D02635,IP01494
R0093,C09866,D02635,IP01494
R0094,C04887,D01760,IP00668
R0094,C06343,D01760,IP00668
R0094,C07021,D01760,IP00668
R0094,C04636,D01760,IP00668
R0094,C01077,D01760,IP00668
R0094,C08188,D01760,IP00668
R0095,C07100,D00087,IP04046
R0095,C02474,D00087,IP04046
R0095,C03741,D00087,IP04046
R0095,C02040,D00087,IP04046
R0095,C02098,D00087,IP04046
R0095,C07172,D00087,IP04046
R0095,C04306,D00087,IP04046
R0095,C02991,D00087,IP04046
R0095,C02119,D00087,IP04046
R0096,C08820,D01414,IP07022
R0096,C03791,D01414,IP07022
R0096,C01552,D01414,IP07022
R0096,C03966,D01414,IP07022
R0096,C09623,D01414,IP07022
R0096,C01203,D01414,IP07022
R0096,C00041,D01414,IP07022
R0096,C04961,D01414,IP07022
R0096,C09744,D01414,IP07022
R0096,C05148,D01414,IP07022
R0097,C07929,D03835,IP00006
R0097,C09864,D03835,IP00006
R0097,C06836,D03835,IP00006
R0097,C09092,D03835,IP00006
R0097,C00852,D03835,IP00006
R0097,C03468,D03835,IP00006
R0097,C07553,D03835,IP00006
R0097,C05571,D03835,IP00006
R0097,C06523,D03835,IP00006
R0098,C06327,D00266,IP02044
R0098,C07128,D00266,IP02044
R0098,C08308,D00266,IP02044
R0098,C03733,D00266,IP02044
R0098,C06418,D00266,IP02044
R0099,C09011,D01935,IP07819
R0099,C05324,D01935,IP07819
R0099,C01350,D01935,IP07819
R0099,C08825,D01935,IP07819
R0099,C01832,D01935,IP07819
R0099,C09190,D01935,IP07819
R0099,C03576,D01935,IP07819
R0099,C05282,D01935,IP07819
R0099,C02932,D01935,IP07819
R0099,C09239,D01935,IP07819
R0100,C03114,D04649,IP02496
R0100,C07024,D04649,IP02496
R0100,C04706,D04649,IP02496
R0100,C00080,D04649,IP02496
R0100,C00371,D04649,IP02496
R0100,C02528,D04649,IP02496
R0100,C00096,D04649,IP02496
R0100,C01794,D04649,IP02496
R0100,C06304,D04649,IP02496
