transaction_id,customer_id,merchant_id,amount,timestamp,payment_method,device_id,ip_id,location,fraud_type,ring_id,is_fraud
TX0000019,C04107,M0217,2484.49,2026-05-13 20:28:17,wallet,D04811,IP06052,Ahmedabad,none,,0
TX0000020,C00280,M0105,1287.22,2026-03-06 01:56:15,upi,D02144,IP01169,Kolkata,none,,0
TX0000021,C04305,M0471,949.2,2026-04-21 02:00:19,netbanking,D03978,IP05437,Hyderabad,none,,0
TX0000022,C01096,M0354,7071.1,2026-06-30 00:29:48,card,D04892,IP00765,Vijayawada,new_device,,1
TX0000023,C02901,M0225,2109.66,2026-06-11 10:03:20,netbanking,D04931,IP05888,Vijayawada,none,,0
TX0000024,C00350,M0379,3111.46,2026-01-01 02:45:50,card,D00262,IP00540,Kolkata,none,,0
TX0000025,C00576,M0131,276.47,2026-04-03 20:13:18,upi,D02747,IP00679,Vijayawada,none,,0
TX0000026,C09850,M0051,3845.64,2026-01-25 04:26:38,card,D00082,IP02129,Ahmedabad,none,,0
TX0000027,C08570,M0334,402.27,2026-08-14 08:52:38,card,D03836,IP03519,Pune,none,,0
TX0000028,C00235,M0404,10959.05,2026-07-04 22:00:48,wallet,D04729,IP03402,Ahmedabad,none,,0
TX0000029,C05772,M0496,2715.42,2026-08-19 06:37:08,card,D04733,IP03957,Ahmedabad,none,,0
TX0000030,C02948,M0374,78.89,2026-04-12 09:48:18,card,D03428,IP02163,Visakhapatnam,none,,0
TX0000031,C05234,M0249,2101.49,2026-08-11 20:12:34,upi,D02790,IP07283,Pune,none,,0
TX0000032,C01048,M0374,825.89,2026-05-17 18:58:36,card,D03751,IP05837,Kolkata,none,,0
TX0000033,C05656,M0324,1049.67,2026-03-16 21:12:16,upi,D02842,IP00489,Visakhapatnam,none,,0
TX0000034,C00974,M0474,740.27,2026-01-28 15:44:46,upi,D04886,IP03744,Bengaluru,none,,0
TX0000035,C05465,M0417,330.94,2026-05-19 21:39:42,wallet,D03539,IP02217,Kolkata,none,,0
TX0000036,C07370,M0243,1300.85,2026-06-25 04:32:37,upi,D00989,IP05091,Visakhapatnam,none,,0
TX0000037,C05057,M0409,2128.86,2026-03-07 23:59:52,card,D03867,IP00840,Ahmedabad,none,,0
TX0000038,C06238,M0145,2888.95,2026-07-07 07:51:44,netbanking,D00435,IP04167,Chennai,none,,0
TX0000039,C09819,M0018,542.95,2026-05-15 19:16:15,upi,D01713,IP04883,Visakhapatnam,none,,0
TX0000040,C05204,M0084,9280.18,2026-05-12 12:01:40,card,D03700,IP04297,Bengaluru,none,,0
TX0000041,C06169,M0132,2829.58,2026-07-23 00:08:18,upi,D04244,IP01981,Bengaluru,none,,0
TX0000042,C03109,M0468,1451.98,2026-02-26 03:01:20,upi,D04472,IP00685,Pune,none,,0
TX0000043,C09835,M0083,11417.47,2026-06-15 01:01:09,netbanking,D01966,IP05798,Ahmedabad,none,,0
TX0000044,C07654,M0368,2853.4,2026-08-14 14:56:48,netbanking,D01556,IP00580,Visakhapatnam,none,,0
TX0000045,C03526,M0478,1247.0,2026-02-13 11:55:45,wallet,D02399,IP06333,Visakhapatnam,none,,0
TX0000046,C08517,M0286,880.18,2026-02-27 10:27:02,card,D04632,IP02500,Vijayawada,none,,0
TX0000047,C07781,M0070,1131.43,2026-02-03 06:49:35,card,D01443,IP04292,Bengaluru,none,,0
TX0000048,C09001,M0245,6931.31,2026-04-02 21:55:11,upi,D03658,IP05427,Bengaluru,none,,0
TX0000049,C05975,M0403,2129.14,2026-08-27 19:57:31,netbanking,D03189,IP01473,Mumbai,none,,0
TX0000050,C08701,M0077,9354.38,2026-08-19 04:00:33,netbanking,D04187,IP06717,Ahmedabad,none,,0
TX0000051,C03590,M0373,2116.8,2026-06-21 14:28:12,netbanking,D00925,IP06921,Hyderabad,none,,0
TX0000052,C08188,M0201,3021.39,2026-06-19 07:03:06,card,D00727,IP03578,Delhi,none,,0
TX0000053,C01047,M0273,2384.52,2026-06-05 05:45:52,wallet,D00892,IP06301,Mumbai,none,,0
TX0000054,C02456,M0351,4748.8,2026-06-05 20:49:24,wallet,D04121,IP02120,Visakhapatnam,none,,0
TX0000055,C00636,M0192,1770.19,2026-03-30 08:57:26,upi,D03153,IP07550,Hyderabad,none,,0
TX0000056,C09139,M0006,1260.53,2026-08-04 10:37:16,card,D03786,IP05965,Ahmedabad,none,,0
TX0000057,C01378,M0194,5791.58,2026-03-06 02:52:30,wallet,D00582,IP05950,Vijayawada,none,,0
TX0000058,C05209,M0032,856.67,2026-08-17 09:05:27,wallet,D02135,IP01276,Visakhapatnam,none,,0
TX0000059,C03705,M0355,898.84,2026-08-24 14:28:27,wallet,D04656,IP07209,Bengaluru,none,,0
TX0000060,C09691,M0272,9648.27,2026-04-26 01:17:46,upi,D00266,IP02401,Ahmedabad,device_reuse,R0098,1
TX0000061,C05117,M0072,5756.37,2026-02-09 05:24:29,card,D00642,IP05260,Visakhapatnam,none,,0
TX0000062,C08022,M0419,809.38,2026-06-26 07:16:47,netbanking,D04374,IP05431,Bengaluru,none,,0
TX0000063,C07399,M0284,2627.19,2026-06-27 03:39:11,wallet,D00791,IP01056,Visakhapatnam,none,,0
TX0000064,C02096,M0097,2407.06,2026-03-10 07:15:50,wallet,D03580,IP01652,Kolkata,none,,0
TX0000065,C09315,M0284,1051.94,2026-06-01 14:12:09,netbanking,D02889,IP01704,Pune,none,,0
TX0000066,C08478,M0152,502.55,2026-04-07 11:18:00,card,D00425,IP05518,Mumbai,none,,0
TX0000067,C05720,M0017,560.22,2026-04-29 09:21:04,upi,D04068,IP05534,Ahmedabad,none,,0
TX0000068,C02642,M0343,1651.19,2026-02-11 07:54:13,netbanking,D03096,IP03724,Hyderabad,none,,0
TX0000069,C01758,M0467,3885.87,2026-05-14 20:19:17,upi,D01841,IP06047,Delhi,none,,0
TX0000070,C05700,M0457,2431.59,2026-06-26 06:15:25,netbanking,D01979,IP04599,Vijayawada,none,,0
TX0000071,C06072,M0272,3205.47,2026-01-22 21:36:01,card,D04805,IP02903,Visakhapatnam,ip_reuse,R0037,1
TX0000072,C08196,M0270,3401.48,2026-06-12 10:57:35,card,D01763,IP03551,Mumbai,none,,0
TX0000073,C00074,M0208,13826.73,2026-03-18 02:33:16,wallet,D01935,IP00991,Delhi,none,,0
TX0000074,C01530,M0217,1906.91,2026-01-23 17:37:21,wallet,D00355,IP00496,Kolkata,none,,0
TX0000075,C08892,M0195,1963.67,2026-07-23 08:54:03,card,D03935,IP02003,Kolkata,none,,0
TX0000076,C04430,M0161,1419.46,2026-08-28 02:46:35,upi,D04168,IP06734,Bengaluru,none,,0
TX0000077,C00476,M0170,1428.17,2026-07-21 18:01:15,card,D04286,IP03729,Ahmedabad,none,,0
TX0000078,C05258,M0159,1224.29,2026-02-28 09:56:30,wallet,D03000,IP07889,Vijayawada,none,,0
TX0000079,C02688,M0138,2179.63,2026-08-15 02:12:03,upi,D03299,IP01534,Vijayawada,none,,0
TX0000080,C08577,M0499,1822.26,2026-01-01 04:09:38,card,D01205,IP07420,Chennai,none,,0
TX0000081,C01370,M0334,691.86,2026-04-23 23:11:53,upi,D03908,IP07006,Mumbai,none,,0
TX0000082,C06672,M0460,2236.79,2026-03-21 11:35:28,wallet,D00496,IP04314,Vijayawada,none,,0
TX0000083,C03528,M0426,9195.82,2026-01-08 08:12:40,card,D00702,IP05658,Kolkata,none,,0
TX0000084,C04424,M0325,4206.2,2026-03-26 14:05:55,wallet,D02147,IP04760,Pune,none,,0
TX0000085,C07874,M0246,2385.33,2026-04-03 11:35:45,upi,D04002,IP05640,Kolkata,none,,0
TX0000086,C01626,M0104,3400.04,2026-03-20 11:02:57,card,D00133,IP06958,Pune,none,,0
TX0000087,C03215,M0382,2729.49,2026-02-15 07:09:58,wallet,D00254,IP00777,Pune,none,,0
TX0000088,C01179,M0112,1926.62,2026-06-11 16:47:51,wallet,D03528,IP00722,Pune,none,,0
TX0000089,C00350,M0452,1460.35,2026-07-15 15:03:55,upi,D00262,IP04714,Kolkata,none,,0
TX0000090,C05519,M0369,426.11,2026-04-19 06:25:56,upi,D00270,IP05523,Bengaluru,none,,0
TX0000091,C07142,M0161,2461.6,2026-03-16 16:56:34,upi,D01222,IP01482,Hyderabad,none,,0
TX0000092,C01671,M0329,391.35,2026-08-16 05:48:29,card,D02834,IP00085,Chennai,none,,0
TX0000093,C00511,M0212,2947.09,2026-02-10 13:23:06,upi,D01599,IP02175,Pune,none,,0
TX0000094,C00105,M0385,698.27,2026-08-24 21:40:42,wallet,D00816,IP01937,Hyderabad,none,,0
TX0000095,C06388,M0441,849.69,2026-03-30 05:57:24,card,D01720,IP02626,Delhi,none,,0
TX0000096,C08490,M0022,1141.16,2026-07-28 17:14:54,card,D03991,IP01874,Visakhapatnam,none,,0
TX0000097,C07491,M0363,3621.04,2026-02-01 21:37:24,upi,D01508,IP02596,Visakhapatnam,none,,0
TX0000098,C01224,M0247,1302.7,2026-01-26 01:23:51,card,D00391,IP05094,Kolkata,none,,0
TX0000099,C01481,M0288,3591.73,2026-03-13 05:41:22,wallet,D00663,IP00268,Chennai,none,,0
TX0000100,C00565,M0461,4427.26,2026-06-26 22:46:37,upi,D03324,IP03670,Visakhapatnam,none,,0
TX0000101,C02924,M0197,859.41,2026-08-16 21:08:27,card,D03087,IP01267,Hyderabad,none,,0
TX0000102,C05225,M0414,14553.71,2026-07-18 02:32:37,netbanking,D00350,IP02211,Bengaluru,none,,0
TX0000103,C01950,M0018,2340.75,2026-01-23 02:18:35,netbanking,D00872,IP02861,Mumbai,none,,0
TX0000104,C00226,M0469,6461.85,2026-06-16 02:40:18,upi,D03937,IP01249,Kolkata,none,,0
TX0000105,C07104,M0342,2567.23,2026-04-10 20:50:51,wallet,D03191,IP03652,Delhi,none,,0
TX0000106,C02178,M0311,1428.08,2026-01-07 12:19:28,card,D04418,IP05482,Ahmedabad,none,,0
TX0000107,C03647,M0449,1710.66,2026-06-13 16:25:30,upi,D00218,IP06345,Chennai,none,,0
TX0000108,C08614,M0469,1326.15,2026-02-02 13:28:05,wallet,D02568,IP04954,Ahmedabad,none,,0
TX0000109,C01366,M0173,2130.83,2026-05-28 11:35:33,upi,D02481,IP07689,Visakhapatnam,none,,0
TX0000110,C02118,M0351,821.88,2026-01-31 14:04:54,upi,D04304,IP02095,Pune,none,,0
TX0000111,C04450,M0203,1710.72,2026-07-20 18:47:54,card,D03139,IP07298,Mumbai,none,,0
TX0000112,C06007,M0367,1588.91,2026-01-15 22:03:52,card,D03379,IP02851,Kolkata,none,,0
TX0000113,C07980,M0023,925.49,2026-08-06 07:09:41,card,D04774,IP03803,Mumbai,none,,0
TX0000114,C06651,M0244,1518.73,2026-07-15 12:07:45,upi,D04508,IP04941,Bengaluru,none,,0
TX0000115,C01008,M0120,1728.12,2026-01-01 22:55:12,wallet,D03574,IP04290,Visakhapatnam,none,,0
TX0000116,C05279,M0403,715.58,2026-02-17 21:00:37,upi,D02241,IP05493,Delhi,none,,0
TX0000117,C00833,M0383,1610.61,2026-01-10 21:50:29,upi,D00455,IP07627,Visakhapatnam,none,,0
TX0000118,C02931,M0091,2646.33,2026-05-14 15:59:17,upi,D01323,IP03355,Chennai,none,,0
TX0000119,C05210,M0451,3147.49,2026-01-05 07:17:44,netbanking,D01426,IP05450,Vijayawada,none,,0
TX0000120,C04954,M0096,4824.99,2026-01-06 16:54:54,upi,D00399,IP02234,Visakhapatnam,none,,0
TX0000121,C09367,M0167,1645.49,2026-04-19 12:41:04,wallet,D04287,IP05632,Visakhapatnam,none,,0
TX0000122,C00119,M0362,4187.06,2026-05-17 14:06:43,upi,D03393,IP03389,Chennai,none,,0
TX0000123,C06379,M0353,2221.75,2026-05-05 07:28:14,upi,D02892,IP05485,Hyderabad,none,,0
TX0000124,C05137,M0402,2438.17,2026-04-18 15:48:47,upi,D04276,IP07406,Visakhapatnam,none,,0
TX0000125,C03806,M0215,2960.16,2026-06-09 14:01:43,wallet,D03152,IP01780,Mumbai,none,,0
TX0000126,C01727,M0470,998.98,2026-08-15 17:50:03,card,D02136,IP05489,Kolkata,none,,0
TX0000127,C03186,M0338,4235.33,2026-04-18 13:52:20,wallet,D02984,IP01998,Vijayawada,none,,0
TX0000128,C01710,M0038,2683.66,2026-01-20 20:36:06,netbanking,D02029,IP04546,Kolkata,none,,0
TX0000129,C02390,M0169,3758.55,2026-03-26 19:40:42,card,D02153,IP01189,Visakhapatnam,none,,0
TX0000130,C01702,M0386,1790.44,2026-08-03 11:20:14,wallet,D03404,IP06844,Delhi,none,,0
TX0000131,C05191,M0213,1267.43,2026-02-05 02:04:38,upi,D03548,IP07321,Bengaluru,none,,0
TX0000132,C03456,M0345,4584.12,2026-01-09 23:58:31,netbanking,D04351,IP07810,Delhi,none,,0
TX0000133,C09256,M0196,1038.26,2026-05-08 20:46:31,wallet,D03173,IP00401,Visakhapatnam,none,,0
TX0000134,C01295,M0235,3826.68,2026-05-26 15:55:04,wallet,D03784,IP02137,Visakhapatnam,none,,0
TX0000135,C08815,M0239,2905.46,2026-02-27 07:20:19,wallet,D01875,IP04046,Visakhapatnam,none,,0
TX0000136,C03498,M0301,1783.32,2026-01-30 10:06:14,card,D00738,IP00899,Chennai,none,,0
TX0000137,C05428,M0380,1862.72,2026-01-07 13:36:16,card,D03263,IP02622,Chennai,none,,0
TX0000138,C01959,M0208,2325.55,2026-06-28 20:22:39,card,D00163,IP05382,Bengaluru,none,,0
TX0000139,C06364,M0132,2089.3,2026-05-20 05:38:41,upi,D00430,IP07997,Pune,none,,0
TX0000140,C00153,M0148,793.59,2026-04-11 09:33:18,upi,D02854,IP00843,Pune,none,,0
TX0000141,C04869,M0356,3082.32,2026-01-16 07:53:20,wallet,D01984,IP03749,Vijayawada,none,,0
TX0000142,C03364,M0453,907.55,2026-02-19 22:02:46,card,D01508,IP04501,Vijayawada,none,,0
TX0000143,C08374,M0367,364.92,2026-08-01 21:38:29,upi,D03871,IP03582,Hyderabad,none,,0
TX0000144,C07100,M0108,830.09,2026-06-03 12:51:46,wallet,D00317,IP02615,Mumbai,none,,0
TX0000145,C06809,M0363,1517.35,2026-04-17 14:04:20,card,D03863,IP05050,Pune,none,,0
TX0000146,C09883,M0075,836.79,2026-02-08 01:54:24,netbanking,D01307,IP02597,Kolkata,none,,0
TX0000147,C08076,M0024,3322.42,2026-02-03 16:17:45,upi,D01301,IP00306,Chennai,none,,0
TX0000148,C08883,M0060,3862.31,2026-03-13 05:57:42,netbanking,D04088,IP02042,Chennai,none,,0
TX0000149,C07822,M0207,2887.88,2026-01-22 19:43:16,card,D03866,IP00021,Pune,none,,0
TX0000150,C00281,M0496,1195.72,2026-08-12 16:00:45,card,D00544,IP05474,Chennai,none,,0
TX0000151,C05542,M0345,3199.41,2026-07-10 02:02:03,wallet,D00320,IP01512,Bengaluru,none,,0
TX0000152,C05156,M0377,882.96,2026-07-23 15:16:50,netbanking,D01093,IP03920,Mumbai,none,,0
TX0000153,C07658,M0238,634.15,2026-01-21 09:50:16,card,D01497,IP07189,Mumbai,none,,0
TX0000154,C06217,M0023,3059.2,2026-01-22 17:53:09,card,D04979,IP06872,Visakhapatnam,velocity_attack,,1
TX0000155,C01865,M0012,5044.43,2026-06-25 17:42:19,wallet,D02676,IP06832,Chennai,none,,0
TX0000156,C05063,M0304,1094.87,2026-01-05 17:28:07,netbanking,D00031,IP02807,Chennai,none,,0
TX0000157,C01453,M0471,1608.36,2026-01-22 23:37:52,netbanking,D01306,IP05590,Visakhapatnam,none,,0
TX0000158,C04086,M0081,3349.33,2026-01-18 12:55:12,upi,D03725,IP03572,Kolkata,none,,0
TX0000159,C02608,M0206,417.44,2026-06-18 23:44:28,wallet,D03172,IP07164,Hyderabad,none,,0
TX0000160,C07894,M0171,759.77,2026-04-26 21:50:41,upi,D03301,IP00947,Visakhapatnam,none,,0
TX0000161,C03451,M0387,2951.77,2026-01-03 19:48:16,card,D00285,IP02241,Kolkata,none,,0
TX0000162,C04858,M0222,1616.09,2026-06-16 12:18:33,wallet,D02310,IP02128,Vijayawada,none,,0
TX0000163,C07803,M0353,1148.49,2026-03-23 19:43:35,netbanking,D04751,IP07046,Kolkata,none,,0
TX0000164,C09904,M0234,2402.44,2026-08-22 00:08:54,wallet,D02090,IP04394,Kolkata,none,,0
TX0000165,C04982,M0466,3875.15,2026-06-24 11:30:23,netbanking,D04638,IP05023,Bengaluru,none,,0
TX0000166,C08191,M0396,5453.72,2026-05-15 10:15:28,card,D04120,IP00678,Ahmedabad,none,,0
TX0000167,C09198,M0270,5059.32,2026-02-09 06:23:53,card,D04626,IP04500,Bengaluru,none,,0
TX0000168,C09836,M0459,14707.4,2026-03-30 22:24:04,wallet,D02256,IP01127,Pune,new_device,,1
TX0000169,C09582,M0429,525.12,2026-06-27 02:18:43,card,D04053,IP04556,Chennai,none,,0
TX0000170,C00530,M0345,489.59,2026-05-18 18:23:28,card,D02831,IP00497,Ahmedabad,none,,0
TX0000171,C05497,M0166,1335.86,2026-06-30 17:38:59,wallet,D04055,IP00225,Mumbai,none,,0
TX0000172,C06372,M0467,1391.33,2026-08-21 16:37:33,wallet,D03405,IP07544,Vijayawada,none,,0
TX0000173,C05833,M0089,422.86,2026-07-25 23:52:28,upi,D03999,IP03762,Delhi,none,,0
TX0000174,C06004,M0052,1764.02,2026-05-08 16:39:49,upi,D03474,IP01120,Pune,none,,0
TX0000175,C01497,M0465,36544.17,2026-07-15 15:49:48,card,D04297,IP02409,Hyderabad,none,,0
TX0000176,C02193,M0206,7111.3,2026-02-08 17:09:34,card,D02753,IP02079,Hyderabad,none,,0
TX0000177,C03598,M0060,4379.29,2026-02-10 21:26:37,wallet,D01656,IP02194,Kolkata,none,,0
TX0000178,C02786,M0283,636.88,2026-03-18 03:15:51,card,D04672,IP01707,Kolkata,none,,0
TX0000179,C00072,M0179,3920.29,2026-05-14 16:05:05,upi,D02900,IP06345,Pune,none,,0
TX0000180,C04784,M0469,1159.69,2026-05-27 18:57:30,wallet,D00725,IP05290,Vijayawada,none,,0
TX0000181,C01364,M0113,938.42,2026-07-10 14:58:57,netbanking,D04499,IP07927,Kolkata,none,,0
TX0000182,C03804,M0432,4240.9,2026-03-21 17:17:09,netbanking,D00852,IP02531,Delhi,none,,0
TX0000183,C02657,M0431,630.08,2026-06-04 18:14:37,netbanking,D03421,IP06633,Kolkata,none,,0
TX0000184,C04765,M0464,801.77,2026-04-05 20:33:54,netbanking,D02870,IP07807,Vijayawada,none,,0
TX0000185,C03143,M0367,1922.4,2026-02-12 03:16:34,card,D01558,IP00494,Kolkata,none,,0
TX0000186,C06011,M0229,944.03,2026-07-30 02:37:29,netbanking,D00632,IP07080,Pune,none,,0
TX0000187,C09588,M0039,1887.56,2026-01-24 21:10:23,netbanking,D02059,IP02113,Mumbai,none,,0
TX0000188,C06869,M0303,765.54,2026-02-15 04:28:15,netbanking,D01094,IP01490,Mumbai,none,,0
TX0000189,C02800,M0058,2784.1,2026-03-17 03:19:48,wallet,D01312,IP06462,Mumbai,none,,0
TX0000190,C05652,M0468,1752.12,2026-04-13 22:21:03,wallet,D00292,IP05531,Hyderabad,none,,0
TX0000191,C07289,M0121,3736.07,2026-02-07 06:23:06,card,D02122,IP04657,Mumbai,none,,0
TX0000192,C04494,M0479,4461.59,2026-02-28 11:42:03,wallet,D00103,IP03435,Pune,none,,0
TX0000193,C03312,M0310,1466.36,2026-08-25 06:53:49,netbanking,D04844,IP01242,Kolkata,none,,0
TX0000194,C00218,M0203,1469.68,2026-06-19 19:57:47,upi,D00548,IP06272,Delhi,none,,0
TX0000195,C07824,M0174,2624.44,2026-03-05 02:01:12,netbanking,D04613,IP04740,Chennai,none,,0
TX0000196,C02994,M0091,2335.94,2026-04-30 04:06:01,netbanking,D00507,IP07156,Delhi,none,,0
TX0000197,C03717,M0325,9651.74,2026-06-13 13:31:27,card,D00907,IP02475,Pune,none,,0
TX0000198,C01944,M0279,2137.54,2026-07-19 16:59:32,wallet,D01967,IP02261,Pune,none,,0
TX0000199,C08095,M0092,3133.11,2026-07-02 13:08:25,upi,D04424,IP07911,Hyderabad,none,,0
TX0000200,C09232,M0223,1765.75,2026-08-26 10:55:59,upi,D01317,IP00757,Ahmedabad,none,,0
TX0000201,C00224,M0118,688.41,2026-06-23 01:32:33,upi,D00312,IP02536,Ahmedabad,none,,0
TX0000202,C01249,M0344,3176.3,2026-06-10 10:49:56,upi,D04242,IP02272,Bengaluru,none,,0
TX0000203,C00496,M0115,1993.59,2026-01-08 12:13:26,card,D02866,IP01389,Kolkata,none,,0
TX0000204,C00601,M0313,7412.18,2026-03-10 11:44:15,wallet,D00964,IP06408,Kolkata,none,,0
TX0000205,C02151,M0450,1527.85,2026-01-31 09:31:21,netbanking,D02173,IP01680,Visakhapatnam,none,,0
TX0000206,C08108,M0152,2419.61,2026-08-07 10:37:02,upi,D01325,IP07307,Mumbai,none,,0
TX0000207,C03542,M0487,14478.41,2026-05-06 01:38:03,wallet,D04075,IP04011,Hyderabad,new_device,,1
TX0000208,C03052,M0469,924.91,2026-03-14 22:05:02,netbanking,D04458,IP04975,Bengaluru,none,,0
TX0000209,C01776,M0425,429.81,2026-03-29 15:11:49,card,D02228,IP02187,Hyderabad,none,,0
TX0000210,C06345,M0242,1730.91,2026-03-14 16:53:40,wallet,D03743,IP05699,Bengaluru,none,,0
TX0000211,C04129,M0160,1628.7,2026-07-26 08:47:57,netbanking,D00244,IP05840,Chennai,none,,0
TX0000212,C02052,M0076,1134.8,2026-06-07 05:38:02,netbanking,D04050,IP04934,Bengaluru,none,,0
TX0000213,C03966,M0001,6096.24,2026-05-16 18:12:14,netbanking,D01414,IP07022,Visakhapatnam,abuse_ring,R0096,1
TX0000214,C08147,M0452,2560.79,2026-08-16 03:41:10,netbanking,D00324,IP07815,Vijayawada,none,,0
TX0000215,C05041,M0021,1888.03,2026-06-11 03:19:35,card,D02493,IP04761,Vijayawada,none,,0
TX0000216,C02269,M0129,1207.58,2026-06-18 02:26:57,wallet,D01471,IP04947,Mumbai,none,,0
TX0000217,C01918,M0433,1875.87,2026-08-28 02:01:47,card,D04747,IP05539,Delhi,none,,0
TX0000218,C00335,M0313,1312.09,2026-08-18 05:27:45,upi,D04462,IP07282,Visakhapatnam,none,,0
TX0000219,C08724,M0425,1783.76,2026-07-01 15:27:16,upi,D01138,IP05366,Chennai,none,,0
TX0000220,C00696,M0115,904.22,2026-08-06 17:21:34,wallet,D03742,IP01121,Hyderabad,none,,0
TX0000221,C08768,M0250,1335.72,2026-07-08 14:03:42,card,D01559,IP07230,Pune,none,,0
TX0000222,C03326,M0085,4059.08,2026-06-06 23:09:18,netbanking,D03483,IP03868,Bengaluru,abuse_ring,R0072,1
TX0000223,C09794,M0279,2950.5,2026-01-20 04:37:11,netbanking,D02694,IP02481,Chennai,none,,0
TX0000224,C08308,M0108,6275.93,2026-06-08 16:52:56,card,D04491,IP00691,Hyderabad,none,,0
TX0000225,C00227,M0392,1780.75,2026-02-04 22:44:49,upi,D03428,IP06350,Kolkata,none,,0
TX0000226,C01916,M0339,971.52,2026-03-30 06:35:29,netbanking,D01933,IP06784,Mumbai,none,,0
TX0000227,C04946,M0260,3306.61,2026-01-23 14:27:33,wallet,D03619,IP01164,Vijayawada,none,,0
TX0000228,C05248,M0339,3172.59,2026-08-19 18:27:30,upi,D02811,IP04392,Kolkata,abuse_ring,R0039,1
TX0000229,C00329,M0009,3803.66,2026-04-25 23:55:30,wallet,D02286,IP07652,Chennai,none,,0
TX0000230,C04602,M0448,2119.14,2026-07-06 01:08:27,upi,D03530,IP05548,Vijayawada,none,,0
TX0000231,C02853,M0371,833.8,2026-01-03 23:57:43,wallet,D03892,IP01281,Chennai,none,,0
TX0000232,C04963,M0310,873.26,2026-05-09 20:46:24,upi,D02869,IP01528,Bengaluru,none,,0
TX0000233,C01913,M0150,1218.77,2026-04-17 16:48:04,netbanking,D04935,IP01906,Bengaluru,none,,0
TX0000234,C04766,M0494,1388.56,2026-06-15 17:10:32,card,D03397,IP05599,Pune,none,,0
TX0000235,C08014,M0044,1211.94,2026-08-02 06:45:20,upi,D04915,IP02935,Chennai,none,,0
TX0000236,C05569,M0050,1658.25,2026-08-20 06:26:41,card,D00722,IP01355,Pune,none,,0
TX0000237,C00273,M0390,2253.58,2026-06-18 09:20:51,wallet,D04023,IP07537,Chennai,none,,0
TX0000238,C00348,M0142,1344.21,2026-03-06 17:43:23,netbanking,D04282,IP04267,Ahmedabad,none,,0
TX0000239,C04735,M0170,2258.29,2026-02-16 07:38:55,wallet,D02555,IP06573,Visakhapatnam,none,,0
TX0000240,C02505,M0323,3037.58,2026-06-01 08:23:21,upi,D00532,IP03016,Chennai,abuse_ring,R0016,1
TX0000241,C00504,M0229,2486.57,2026-07-26 15:01:29,card,D02162,IP05694,Pune,none,,0
TX0000242,C00660,M0440,1372.0,2026-07-28 02:00:25,card,D04237,IP06676,Delhi,none,,0
TX0000243,C03372,M0032,1111.96,2026-07-04 21:18:25,upi,D03645,IP07986,Kolkata,none,,0
TX0000244,C01229,M0072,3181.52,2026-04-08 13:42:30,upi,D02116,IP01145,Pune,none,,0
TX0000245,C04840,M0189,1237.28,2026-04-11 09:53:51,card,D03955,IP00924,Pune,none,,0
TX0000246,C09072,M0147,2921.19,2026-06-13 19:04:52,card,D04649,IP05124,Visakhapatnam,none,,0
TX0000247,C02959,M0486,6875.56,2026-03-20 04:57:25,wallet,D01330,IP07292,Ahmedabad,none,,0
TX0000248,C03144,M0286,1879.4,2026-08-04 20:30:16,wallet,D00328,IP01217,Vijayawada,none,,0
